address_id,address,matched,address_id2,address_matched,suburb,postcode,latitude,longitude,similarity
1,501 COWPASTURE RD HOXTON PARK 2171 NSW,1,14085450.0,501 COWPASTURE RD LEN WATERS ESTATE NSW 2171,LEN WATERS ESTATE,2171.0,-33.91847229003910,150.8538055419920,0.6056338028169010
2,SHOP 1 57 OLD NORTHERN RD ALBANY CREEK 4035 QLD,1,11643214.0,UNIT 1 57 OLD NORTHERN RD ALBANY CREEK QLD 4035,ALBANY CREEK,4035.0,-27.360733032226600,152.97108459472700,0.821917808219178
3,175 KING STREET NEWTOWN 2042 NSW,1,7703358.0,175 KING ST NEWTOWN NSW 2042,NEWTOWN,2042.0,-33.894073486328100,151.18252563476600,0.8541666666666670
4,1A BRONTE RD BONDI JUNCTION SYDNEY 2022 NSW,1,8768200.0,1A BRONTE RD BONDI JUNCTION NSW 2022,BONDI JUNCTION,2022.0,-33.89244842529300,151.24957275390600,0.8305084745762710
5,BAYSWATER ROAD CNR PENNYS LANE KINGS CROSS 2011 NSW,0.5,4060130.0,BAYSWATER 2 14 KINGS CROSS RD POTTS POINT NSW 2011,POTTS POINT,2011.0,-33.87553787231450,151.22283935546900,0.6282051282051280
6,SHOP 403 LEVEL 4 264 278 GEORGE STREET SYDNEY 2000 NSW,1,6260374.0,AUSTRALIA SQUARE SHOP 403 264 278 GEORGE ST SYDNEY NSW 2000,SYDNEY,2000.0,-33.86493682861330,151.2079620361330,0.5523809523809520
7,SHOP 14 LEVEL 6 MLC CENTRE FOOD COURT MARTIN PLACE CASTLEREAGH STREET SYDNEY 2000 NSW,0.5,12286730.0,MLC CENTRE SUITE 6 LEVEL 14 19 29 MARTIN PL SYDNEY NSW 2000,SYDNEY,2000.0,-33.86874008178710,151.20933532714800,0.6190476190476190
8,SHOP 5008 LEVEL 5 WESTFIELD SYDNEY FOOD COURT 188 PITT STREET SYDNEY 2000 NSW,1,6949541.0,LEVEL 5 188 PITT ST SYDNEY NSW 2000,SYDNEY,2000.0,-33.87010955810550,151.2089080810550,0.42469879518072300
9,SHOP 2 77 WILLOUGHBY ROAD CRN HOLTERMAN STREET CROWS NEST 2065 NSW,1,2334576.0,SUITE 2 77 WILLOUGHBY RD CROWS NEST NSW 2065,CROWS NEST,2065.0,-33.824623107910200,151.20118713378900,0.6551724137931030
10,SHOP 6013 LEVEL 6 WESTFIELD BONDI JUNCTION 500 OXFORD STREET BONDI JUNCTION 2022 NSW,1,13075061.0,SUITE 6013 500 OXFORD ST BONDI JUNCTION NSW 2022,BONDI JUNCTION,2022.0,-33.89140319824220,151.25082397460900,0.48947368421052600
11,SHOP EG07 07B BUNDA ST CANBERRA CENTRE SHOPPING CENTRE CANBERRA CITY 2601 ACT,0,,,,,,,
12,86 BEAUMONT STREET HAMILTON 2303 NSW,1,9233512.0,86 BEAUMONT ST HAMILTON NSW 2303,HAMILTON,2303.0,-32.921730041503900,151.7471160888670,0.8703703703703700
13,SHOP 14 MANLY WHARF EAST ESPLANADE MANLY 2095 NSW,0.5,8441976.0,UNIT 14 415 ESPLANADE MANLY QLD 4179,MANLY,4179.0,-27.45166778564450,153.18588256835900,0.22435897435897400
14,SHOP 10 31 WORLD SQUARE SHOPPING CENTRE 680 GEORGE ST SYDNEY 2000 NSW,1,7211846.0,LEVEL 31 680 GEORGE ST SYDNEY NSW 2000,SYDNEY,2000.0,-33.87741470336910,151.20631408691400,0.40116279069767400
15,SHOP 73 RHODES WATERSIDE SHOPPING CENTRE 1 RIDER BLVD RHODES 2138 NSW,1,3057556.0,UNIT 73 1 RIDER BVD RHODES NSW 2138,RHODES,2138.0,-33.835975646972700,151.0848846435550,0.5432098765432100
16,UNIVERSITY TERRACES LOWER KENSINGTON CAMPUS HIGH ST KENSINGTON 2052 NSW,0,,,,,,,
17,WESTFIELD PARRAMATTA SHOP 4068 LEVEL 4 159 175 CHURCH STREET PARRAMATTA 2150 NSW,1,10993192.0,SHOP 4068 175 CHURCH ST PARRAMATTA NSW 2150,PARRAMATTA,2150.0,-33.817726135253900,151.00216674804700,0.4066666666666670
18,FOUNTAIN PLAZA SHOPPING CENTRE SHOP 11B 148 THE ENTRANCE ROAD ERINA 2250 NSW,1,14756505.0,148 THE ENTRANCE ROAD ERINA NSW 2250,ERINA,2250.0,-33.43860626220700,151.38327026367200,0.39534883720930200
19,CHARLESTOWN SQUARE SHOPPING CENTRE TENANCY L02 K213 30 PEARSON STREET CHARLESTOWN 2290 NSW,1,1539894.0,SHOP 213 30 PEARSON ST CHARLESTOWN NSW 2290,CHARLESTOWN,2290.0,-32.964046478271500,151.69384765625,0.2967032967032970
20,WESTFIELD BELCONNEN TENANCY 312 BENJAMIN WAY BELCONNEN 2617 ACT,0,14383540.0,57 BENJAMIN WAY BELCONNEN ACT 2617,BELCONNEN,2617.0,-35.242408752441400,149.06781005859400,0.32142857142857100
21,TENANCY 2018 STOCKLAND SHELLHARBOUR 211 LAKE ENTRANCE RD SHELLHARBOUR 2529 NSW,0.5,6079990.0,SHOP 1018 211 LAKE ENTRANCE RD SHELLHARBOUR CITY CENTRE NSW 2529,SHELLHARBOUR CITY CENTRE,2529.0,-34.56638717651370,150.83941650390600,0.4888888888888890
22,TENANCY 12B 12C GREENWAY PLAZA 1183 1187 THE HORSLEY DR WETHERILL PARK 2164 NSW,1,10551307.0,1183 1187 THE HORSLEY DRIVE WETHERILL PARK NSW 2164,WETHERILL PARK,2164.0,-33.85005187988280,150.89785766601600,0.3958762886597940
23,TENANCY L01 C034B MACARTHUR SQUARE SHOPPING CENTRE 200 GILCHRIST DRIVE CAMPBELLTOWN 2560 NSW,1,9323336.0,MACARTHUR SQUARE 200 GILCHRIST DR CAMPBELLTOWN NSW 2560,CAMPBELLTOWN,2560.0,-34.0777587890625,150.79779052734400,0.3348623853211010
24,52 JONSON STREET BYRON BAY 2481 NSW,1,7549324.0,52 JONSON ST BYRON BAY NSW 2481,BYRON BAY,2481.0,-28.643447875976600,153.61195373535200,0.851063829787234
25,TENANCY GD W116 WOLLONGONG CENTRAL SHOPPING CENTRE KEIRA STREET WOLLONGONG 2500 NSW,0.5,5164716.0,WOLLONGONG CENTRAL 168 218 CROWN ST WOLLONGONG NSW 2500,WOLLONGONG,2500.0,-34.42470169067380,150.89422607421900,0.24725274725274700
26,54 BAYLIS STREET WAGGA WAGGA 2650 NSW,1,4371464.0,54 BAYLIS ST WAGGA WAGGA NSW 2650,WAGGA WAGGA,2650.0,-35.11680603027340,147.3687744140630,0.8367346938775510
27,SHOP 2 82 MULGOA RD PENRITH 2750 NSW,0,13386546.0,OAKWOOD UNIT 2 61 MULGOA RD PENRITH NSW 2750,PENRITH,2750.0,-33.75551986694340,150.6857147216800,0.4413145539906100
28,TENANCY R3001 PIAZZA AREA TOP RYDE SHOPPING CENTRE CNR BLAXLAND RD DEVLIN ST RYDE 2112 NSW,0.5,12746354.0,TOP RYDE SHOPPING CENTRE RETAIL CAR PARK 111 BLAXLAND RD RYDE NSW 2112,RYDE,2112.0,-33.81230926513670,151.1072235107420,0.2971698113207550
29,LEVEL 2 FOOD PRECINCT SHOP S219 BROADWAY SHOPPING CENTRE 1 BAY ST BROADWAY 2007 NSW,0,10087091.0,CHILD CARE CENTRE 1 2 TOONA WAY GLENNING VALLEY NSW 2261,GLENNING VALLEY,2261.0,-33.33510971069340,151.4288787841800,0.1891891891891890
30,SHOP 304 326 CAMDEN VALLEY WAY NARELLAN 2567 NSW,1,11728234.0,SHOP 304 326 CAMDEN VALLEY WAY NARELLAN NSW 2567,NARELLAN,2567.0,-34.04167175292970,150.73716735839800,0.9696969696969700
31,SHOP T2 8 TOWER 2 DREAM DINING 201 SUSSEX ST SYDNEY 2000 NSW,1,8605837.0,SHOP 2 201 SUSSEX ST SYDNEY NSW 2000,SYDNEY,2000.0,-33.87205505371090,151.20343017578100,0.3666666666666670
32,SHOP E 05 14 DARLING DRIVE DARLING HARBOUR SYDNEY 2000 NSW,1,15041574.0,CONVENTION CENTRE 14 DARLING DR SYDNEY NSW 2000,SYDNEY,2000.0,-33.871578216552700,151.20013427734400,0.36947791164658600
33,SHOP 30 30 33 HIBBERSON STREET GUNGAHLIN 2912 ACT,1,15284572.0,SHOP 30 33 HIBBERSON ST GUNGAHLIN ACT 2912,GUNGAHLIN,2912.0,-35.185237884521500,149.13412475585900,0.921875
34,LOT 52 COOK DRIVE COFFS HARBOUR 2450 NSW,0,5430252.0,52 COOK ST BROADWATER NSW 2472,BROADWATER,2472.0,-29.02156639099120,153.43109130859400,0.19736842105263200
35,OUTLET 2 752 GEORGE STREET BLIGH PARK 2756 NSW,1,2893676.0,752 GEORGE ST SOUTH WINDSOR NSW 2756,SOUTH WINDSOR,2756.0,-33.64063262939450,150.7857208251950,0.35238095238095200
36,SHOP 4 140 MARSDEN ST PARRAMATTA 2150 NSW,1,5825860.0,V BY CROWN SHOP 4 140 MARSDEN ST PARRAMATTA NSW 2150,PARRAMATTA,2150.0,-33.81528854370120,151.0013427734380,0.7971014492753620
37,164 MONA VALE ROAD ST IVES 2057 NSW,0.5,11697154.0,UNIT 201A 164 MONA VALE RD ST IVES NSW 2075,ST IVES,2075.0,-33.73072052001950,151.1570587158200,0.3712121212121210
38,4 DUNHEVED ROAD WERRINGTON 2747 NSW,1,4361058.0,4 DUNHEVED RD WERRINGTON COUNTY NSW 2747,WERRINGTON COUNTY,2747.0,-33.745765686035200,150.74099731445300,0.7540983606557380
39,1 MOLLY MORGAN DRIVE EAST MAITLAND 2323 NSW,1,1580692.0,1 MOLLY MORGAN DR EAST MAITLAND NSW 2323,EAST MAITLAND,2323.0,-32.7629508972168,151.59169006347700,0.8620689655172410
40,SHOP 5 888 PITTWATER RD DEE WHY 2099 NSW,1,6018209.0,SHOP 5 888 PITTWATER RD DEE WHY NSW 2099,DEE WHY,2099.0,-33.753143310546900,151.28749084472700,0.9655172413793100
41,SHOP 31 FORTITUDE VALLEY EMPORIUM 1000 ANN STREET FORTITUDE VALLEY 4006 QLD,1,15556559.0,SHOP 31 1000 ANN ST FORTITUDE VALLEY QLD 4006,FORTITUDE VALLEY,4006.0,-27.45348358154300,153.0395050048830,0.810126582278481
42,SHOP E116 THE ORACLE SHOPPING CENTRE 3 ORACLE BOULEVARDE OFF CHARLES AVENUE BROADBEACH 4218 QLD,0,4442406.0,JUPITERS CASINO 3 THE DARLING AVENUE BROADBEACH QLD 4218,BROADBEACH,4218.0,-28.032262802124000,153.42965698242200,0.3657817109144540
43,SHOP 1204 WESTFIELD CARINDALE 1151 CREEK ROAD CARINDALE 4152 QLD,1,11445755.0,CARINDALE SHOPPING CENTRE SHOP 1204 1151 CREEK RD CARINDALE QLD 4152,CARINDALE,4152.0,-27.503145217895500,153.10165405273400,0.6951219512195120
44,SHOP 1143 WESTFIELD NORTH LAKES CNR ANZAC AVE AND NORTH LAKES DRIVE NORTH LAKES 4509 QLD,1,7093975.0,SHOP 1143 1 NORTH LAKES DR NORTH LAKES QLD 4509,NORTH LAKES,4509.0,-27.242116928100600,153.01658630371100,0.6341463414634150
45,179 GREY STREET SOUTH BRISBANE 4101 QLD,1,15307095.0,179 GREY ST SOUTH BRISBANE QLD 4101,SOUTH BRISBANE,4101.0,-27.47968101501470,153.02194213867200,0.9152542372881360
46,ROBINA TOWN CENTRE SHOPPING CENTRE FOOD ATRIUM TENANCY 2037 19 ROBINA TOWN CENTRE DRIVE ROBINA 4230 QLD,1,9964439.0,ROBINA TOWN CENTRE SHOP 2037 19 ROBINA TOWN CENTRE DR ROBINA QLD 4226,ROBINA,4226.0,-28.077295303344700,153.38531494140600,0.4285714285714290
47,SHOP 567 KAWANA SHOPPINGWORLD 119 POINT CARTWRIGHT DRIVE BUDDINA 4575 QLD,0.5,7952949.0,KAWANA SHOPPING WORLD SHOP 367 119 POINT CARTWRIGHT DR BUDDINA QLD 4575,BUDDINA,4575.0,-26.702774047851600,153.13079833984400,0.5543859649122810
48,STOCKLAND GLADSTONE EAST MALL CORNER OF PHILIP STREET AND THE DAWSON HIGHWAY GLADSTONE 4680 QLD,1,1128060.0,STOCKLAND GLADSTONE 195 PHILIP ST WEST GLADSTONE QLD 4680,WEST GLADSTONE,4680.0,-23.86976432800290,151.24264526367200,0.5
49,SHOP 111 142 NEWMARKET RD WINDSOR 4030 QLD,1,13688426.0,SHOP 111 142 NEWMARKET RD WINDSOR QLD 4030,WINDSOR,4030.0,-27.438032150268600,153.02371215820300,0.9836065573770490
50,SHOP 316C LOGAN HYPERDOME SHOPPING CENTRE LOGANHOLME 4129 QLD,1,1818884.0,HYPERDOME MALL HYPERDOME PLUS SHOP 316C 3828 3846 PACIFIC HWY SHAILER PARK QLD 4128,SHAILER PARK,4128.0,-27.658950805664100,153.17161560058600,0.20535714285714300
